YEAR, ISSUE, TIMESTAMP, STORY, OUTLINE, 
1960,41,277,5, Встреча на аэродроме Председателя Временного правительства Алжирской Республики Ферхата Аббаса. ,
1960,41,300,6," Город Тамбов; улицы, арка, рынок. ",
1960,41,324,7, Город Москва. Выставка произведений графики кубинских художников. ,
1960,41,370,8," Пребывание в г. Москве американского художника Р. Кента. Р. Кент на улицах г. Москвы, на территории Кремля делает зарисовки. ",
1960,41,394,9, Всесоюзные соревнования по велосипедному спорту в г. Кишиневе. Велосипедисты на дистанции. Победитель соревнований А. Подъяблонский. ,
1960,41,464,10," Съемки новой кинокомедии на Таллинской киностудии. Поет Георг Отс, исполняющий главную роль. ",
1960,41,510,11," Мексика, г. Мехико. Торжества по случаю празднования 150-летия независимости Мексики. Военный парад, народное гуляние, фейерверк. Присутствуют члены правительства Мексики.,",
1960,42,20,1," Встреча на Внуковском аэродроме Н. С. Хрущева, вернувшегося из г. Нью-Йорка с 15-ой сессии Генеральной Ассамблеи ООН. Среди встречающих Л. И. Брежнев, Ф. Р. Козлов, А. Н. Косыгин, Е. А. Фурцева.",
1960,42,54,2," Заседание членов Совета новаторов, созданного при Московском городском совнархозе. Члены совета - рационализаторы, передовики производства предприятий г. Москвы. ",
1960,42,122,3, Почтовое отделение. Подписка на журналы и газеты на 1961 год. Говорит начальник Союзпечати Седов (синхронно). ,
1960,42,223,4," Посол Венгрии в СССР Геза Ревес вручает почетные дипломы академикам: К. И. Скрябину, П. Н. Федосееву, А. М. Самарину, Сергееву, избранным почетными членами Венгерской Академии наук. ",
1960,42,257,5," Свиноводческая ферма совхоза ""Глуховский"" Тамбовской области, находящаяся в ведении М. А. Лукашкина, использовавшего метод бесстаночного содержания животных и вырастившего 2000 свиней. Послание Н. С. Хрущева М. А. Лукашкину. ",
1960,42,325,6, Разведение нутрий Таджикским промхозом на озерах Вахшской долины. Работники промхоза на озере наблюдают за нутриями. ,
1960,42,393,7," Рабочий Сармаковского маслозавода, бывший танкист Хачим Поиснев перевозит на танке с альпийских пастбищ Кабардино-Балкарии на маслозавод бидоны с молоком, доставляя за один рейс 5 тонн молока. Движется танк с нагруженными бидонами. ",
1960,42,460,8," Автодорожные аварии, вызванные нарушением правил дорожного движения шоферами, превысившими скорость движения, шоферами в нетрезвом состоянии. Инспектор дорожной службы фотографирует момент нарушения правила движения водителем Шахновским, показывает ему фотоснимок. ",
1960,42,528,9," Выставка ""Искусство Мексики"" в залах Музея изобразительных искусств имени А. С. Пушкина в г. Москве. Экспонаты: картины, скульптуры.",
1960,43,20,1," Митинг трудящихся г. Москвы, посвященный работе Советской делегации на 15-ой сессии Генеральной Ассамблеи ООН. Выступают: П. Н. Демичев, В. В. Виноградов, Н. С. Хрущев.",
1960,43,45,2," Уборка хлопка на полях совхоза имени Ленина в Азербайджане, лучшему механизатору совхоза вручается вымпел. Уборка свеклы на полях Краснодарского края. Идут машины, нагруженные свеклой. Транспортер со свеклой. Цех Усть-Лабинского сахарного завода. Движется транспортер с сахарной массой. Работница цеха у пульта управления. ",
1960,43,223,3," Китобойная база ""Юрий Долгорукий"" - судно водоизмещением в 40 тысяч тонн; быстроходные суда - охотники. Выход китобойной флотилии в первый промысловый рейс в Антарктику. ",
1960,43,273,4," Япония, г. Токио. Митинг трудящихся. Выступает председатель социалистической партии Японии Инэдзиро Асанума. На И. Асануму бросается убийца из фашистской организации и наносит смертельный удар кинжалом. Похороны И. Асанумы. Похоронная процессия на улице. ",
1960,43,426,5," Пребывание в г. Москве делегации бывших французских летчиков полка ""Нормандия-Неман"". Глава делегации - генерал Пьер Пуйяд; летчики: де Ля Пуап, Жак Бейсад; советские летчики-однополчане: полковник Агавелян, генерал-майоры: М. В. Захаров, Голубов разговаривают с французами. Французские летчики возлагают венок к мемориальной доске. ",
1960,43,502,6, Велопробег Клайпеда-Владивосток. Велосипедистов встречают спортсмены г. Владивостока. ,
1960,43,552,7, Выступление оркестра Московской государственной филармонии под управлением венского дирижера Эдуарда Штрауса. Дирижирует Эдуард Штраус.,
1960,44,20,1," Зал заседания, президиум сессии Верховного Совета Российской Федерации. В президиуме сессии Н. С. Хрущев. Выступают: А. Попов, Н. Н. Органов, Е. Крестьянинов.",
1960,44,86,2," Прием Н. С. Хрущевым делегации кубинских журналистов во главе с Карлосом Франки. Присутствуют: главные редакторы газет ""Правда"" и ""Известия"": П. А. Сатюков и А. И. Аджубей. ",
1960,44,129,3," Город Норильск. Улицы города; метет метель. Рабочие идут на работу в Норильский рудник, взрывают скальную породу рудника. Экскаватор грузит породу в вагоны. Проезжает поезд. ",
1960,44,239,4," Посол Италии в СССР Лука Пьетромарки вручает награды Международного киноклуба в г. Риме за советский художественный фильм ""Баллада о солдате"". Золотая планка Давида Донотелло вручается режиссеру фильма Г. Чухраю; Золотой кубок Санта Винчента - исполнителю главной роли артисту Владимиру Ивашову. ",
1960,44,283,5, Уборка кукурузы на полях совхоза имени Горького в Ставропольском крае. Работают комбайны. Кукурузу грузят на машины. ,
1960,44,348,6," Последнее контрольное плавание нового теплохода ""Молдавия"", построенного Ленинградским судостроительным заводом имени Жданова. Помещения теплохода: палуба, салон, каюты. ",
1960,44,392,7," Всесоюзные соревнования легкоатлетов в г. Киеве в забеге на 10 тысяч метров. На дистанции Петр Болотников. Победитель соревнования П. Болотников, установивший новый мировой рекорд. ",
1960,44,458,8," Коллекция картин, редких книг и рукописей, принадлежащая профессору, ученому И. М. Саркизову-Серазини: портреты К. С. Станиславского, М. Ермоловой с автографами; картины: ""Деревня"" художника А. Саврасова, ""Политики"" К. Маковского, ""Девушка со сложенными руками"" А. Архипова. Коллекционер И. М. Саркизов - Серазини. ",
1960,44,501,9, Город Москва. Концерт сельской художественной самодеятельности Российской Федерации. Выступают: танцевальный ансамбль Чекмагушевского Дома культуры из Башкирии; поет Пензенский русский народный хор. На концерте присутствуют: руководители коммунистической партии и Советского правительства.,
1960,45,20,1, Председатель Президиума Верховного Совета СССР Л. И. Брежнев вручает К. Е. Ворошилову орден Ленина и Золотую звезду Героя Социалистического Труда.,
1960,45,43,2," Советско-кубинские переговоры в Кремле по вопросам расширения торговли и экономических отношений между обеими странами. В переговорах принимают участие: руководитель советской делегации А. И. Микоян, руководитель правительственной экономической миссии Кубы - Эрнесто Гевара.",
1960,45,90,3," Строительство Братской гидроэлектростанции на реке Ангаре. Выгрузка бетона, работают экскаваторщики. ",
1960,45,137,4," Сбор урожая фруктов в совхозе ""Шихринау"" в Таджикистане. Девушки срезают виноград, укладывают в ящики яблоки. ",
1960,45,183,5," Испытание транспортноотвального моста, который найдет применение на открытых угольных разработках страны. ",
1960,45,207,6," Атомоход ""Ленин"" в Арктике проводит караван судов. Капитан атомохода П. А. Понамарев. Радиолокатор. Энергетический пост корабля. ",
1960,45,300,7," Спуск со стапелей Николаевского судостроительного завода китобазы ""Советская Россия"". Митинг по случаю спуска китобазы. ",
1960,45,347,8, Празднование 850-летия г. Владимира. Играет духовой оркестр; митинг на площади; открытие монумента в честь юбилейной даты города. ,
1960,45,394,9," Утренник в детском саду, посвященный Дню 7 ноября. ",
1960,45,417,10," Город Москва. Финальный матч на Кубок СССР по футболу на стадионе имени Ленина в Лужниках между командами ""Торпедо"" (г. Москва) и ""Динамо"" (г. Тбилиси). Моменты игры. Вручение Кубка торпедовцам г. Москвы. ",
1960,45,510,11, Праздничный студенческий бал в Университете Дружбы народов имени Патриса Лумумбы. Перед студентами выступает Государственный русский народный хор имени Пятницкого.,
1960,46,20,1," Прием в Кремле Н. С. Хрущевым партийно-правительственной делегации КНР, возглавляемой Председателем КНР Лю Шао-ци. Присутствует А. А. Громыко.",
1960,46,62,2, Пуск новой доменной печи на Енакиевском металлургическом заводе в честь 43-ей годовщины Октябрьской революции. Цех завода. Льется чугун. ,
1960,46,125,3," Митинг жителей г. Минска по случаю окончания строительства газопровода ""Дашава-Минск"", по которому в Белоруссию пришел Украинский газ. Зажегся факел. Жители г. Минска смотрят на горящий газовый факел. ",
1960,46,188,4, Чрезвычайный и Полномочный Посол Великобритании Ф. Робертс вручает верительные грамоты Председателю Президиума Верховного Совета СССР Л. И. Брежневу. ,
1960,46,209,5," Торжественное собрание молодежи в Колонном зале Дома союзов, посвященное 15-летию учреждения Всемирной Федерации демократической молодежи. Выступает Председатель молодежных организаций СССР П. Н. Решетов. ",
1960,46,251,6," Заросли камыша в низовьях реки Волги. Научная лаборатория Астраханского научно-исследовательского института в которой ведутся исследования по созданию строительных материалов с применением камыша. Строительство Астраханского целлюлозно-картонного комбината. Работают монтажники, сварщики. ",
1960,46,335,7," Институт экспериментальной хирургической аппаратуры и инструментов. Инженер Козлов знакомит врачей-урологов с аппаратом ""искусственная почка"". Врачи в операционной. Больной подключают аппарат ""искусственная почка"". ",
1960,46,419,8," Ученые-вулканологи на борту самолета, летящего к Карымскому вулкану на Камчатке, на котором началось извержение. Кратер вулкана. ",
1960,46,461,9," Город Москва, Манежная площадь. Старт участников мотопробега к границе Чехословакии в честь месячника советско-чехословатской дружбы. ",
1960,46,503,10, Выставка детских рисунков в Кишиневском Доме пионеров. ,
1960,46,524,11," Встреча на Киевском вокзале участников декады литературы и искусства Украины. Среди встречающих на перроне артисты М. И. Царев, Г. Т. Тимошенко. ",
1960,46,566,12, Первый национальный конгресс муниципальных советов просвещения Кубинской Республики.,
1960,47,20,1," Город Москва. Торжественное собрание, посвященное открытию Университета Дружбы народов имени Патриса Лумумбы. Выступают: Ректор Университета профессор С. В. Румянцев, Н. С. Хрущев, студент из Нигерии Л. А. Осунде.",
1960,47,89,2, Митинг по случаю пуска Кременчугской гидроэлектростанции на реке Днепре. Пульт управления. Вращается турбина. Высоковольтная линия электропередачи. Агрегаты. ,
1960,47,203,3," Уборка хлопка на полях совхоза ""Пятилетка"" Ташкентской области Узбекистана. Комбайн собирает хлопок. Транспортер с хлопком. Гора собранного хлопка. ",
1960,47,295,4," Выставка работ художников Украины, открытая в дни декады литературы и искусства Украины в г. Москве. ",
1960,47,318,5," Демонстрация новых моделей одежды, разработанных польскими модельерами и показанных в г. Москве в осенне-зимний сезон. ",
1960,47,341,6," Кинохроника: разрушенный г. Париж во время 2ой мировой войны; по улицам проезжает немецкий танк, проходят немецкие офицеры. Бегут беженцы. ",
1960,47,387,7, Антивоенные демонстрации протеста французских граждан против размещения подразделений войск бундесвера на территории Франции. Столкновения демонстрантов с полицией. ,
1960,47,432,8," Хоккейный матч между командами ""Торпедо"" (г. Горький) и ""Спартак"" (г. Москва). Моменты игры. Вручение Кубка капитану команды ""Торпедо"". ",
1960,47,501,9, Выступление во Дворце Спорта Украинского танцевального ансамбля в дни декады Украинской литературы и искусства в г. Москве. Присутствуют руководители коммунистической партии и Советского правительства.,
1960,48,20,1," Пребывание в г. Москве Президента Финляндии Урхо Калева Кекконена, визиты Председателю Президиума Верховного Совета СССР Л. И. Брежневу, Председателю Совета Министров СССР Н. С. Хрущеву.",
1960,48,45,2," Уникальная энергетическая установка в г. Баку: блок парового котла высокого давления и турбогенератора, смонтированный под открытым небом. Пульт управления. Машинный зал. Высоковольтная линия электропередачи. ",
1960,48,145,3," Торжественное заседание в Большом театре СССР, посвященное памяти Л. Н. Толстого. В президиуме внуки Л. Н. Толстого; в ложе - члены Советского правительства. Выступает писатель Л. С. Леонов. Кинохроника: Л. Н. Толстой проходит с С. А. Толстой; распиливает с крестьянами дерево; проходит по дорожке парка. ",
1960,48,245,4, Хлопкороб-механизатор артели имени Фрунзе в Таджикистане Х. Умарова на уборке хлопка. Вручение Х. Умаровой диплома Героя Социалистического Труда. ,
1960,48,295,5," Американский художник, писатель и борец за мир Р. Кент разрезает ленточку, открывая свою выставку в залах Академии художеств СССР. Картины работы Р. Кента. ",
1960,48,320,6," Интервью перуанской певицы Имы Сумак, поет Има Сумак. На гитаре играет Мойзес Виванко. ",
1960,48,369,7, Соревнования по боксу между командами Войска Польского и Советской Армии. Моменты поединков. Судья. Боксер в нокауте. ,
1960,48,469,8," Италия, г. Палермо. Квартал города, где проживают бедняки. Город Турин. Генеральный секретарь компартии Италии Пальмиро Тольятти выступает на митинге жителей города. ",
1960,48,569,9," Заключительный концерт декады литературы и искусства Украины в Большом театре СССР. Профессиональные и самодеятельные коллективы исполняют танец ""Дружба"". На концерте присутствуют: Н. С. Хрущев, Н. В. Подгорный.",
1960,49,20,1," Советско-камбоджийский митинг дружбы по случаю приезда в г. Москву с официальным визитом принца Камбоджи Нородома Сианука. Выступают: Л. И. Брежнев, Нородом Сианук, участники митинга: Н. И. Бобровников, Б. Г. Гафуров и другие.",
1960,49,74,2," Газеты с сообщениями о запуске в космос 3-его космического корабля. О значимости запуска корабля говорят: академик А. В. Топчиев, американский промышленник и общественный деятель Сайрус Итон, летчик Лунев. ",
1960,49,128,3, Митинг по случаю открытия Барнаульского завода искусственного и синтетического волокна. Цех завода. Катушка с намотанной капроновой нитью. Работает наладчик В. Санников. ,
1960,49,236,4," Митинг по случаю завершения работ по строительству второй очереди Каракумского канала. Перемычка, разделяющая русло реки Амударьи от канала. ",
1960,49,290,5," Встреча в аэропорту правительственной делегации, возглавляемой вице-президентом Объединенной Арабской Республики Абделем Хакимом Амерон. Абдель Хаким Амер обходит строй почетного караула, принимает приветствия представителей дипломатического корпуса. ",
1960,49,344,6, Строительство высокогорной троллейбусной линии г. Симферополь - г. Ялта. Катки уравнивают дорогу. Проходит троллейбус. Работает регулировщик движения на дороге. ,
1960,49,452,7, Соревнования по художественной гимнастике на лично-командное первенство СССР на зимнем стадионе в г. Ленинграде. Выступает гимнастка Виолетта Смотрина. ,
1960,49,506,8," Чествование в театре имени Маяковского народного артиста СССР Н. П. Охлопкова, в связи с его 60-летием. Н. П. Охлопкова поздравляют: К. Н. Еланская, М. И. Царев, представители учреждений и организаций. Театрализованное представление в честь Н. П. Охлопкова. ",
1960,49,560,9, Выступление в г. Москве артистов Украинского цирка в дни декады литературы и искусства Украины. Представление различных аттракционов.,
1960,50,20,1," Митинг советско-китайской дружбы во Дворце спорта в честь пребывания в г. Москве партийно-правительственной делегации КНР во главе с Председателем КНР Лю Шао-ци. Выступают: П. Н. Демичев, академик А. Ляншин, Л. И. Брежнев, Лю Шао-ци.",
1960,50,75,2, Цех металлургического комбината в г. Темиртау в Казахстане. Пуск новой коксовой батареи. Рабочий за пультом управления коксовой печью. Высыпается горячий кокс. ,
1960,50,184,3," Многоотраслевое хозяйство подмосковной артели имени Дзержинского: птичник, коровник; доярка доит коров электродоильным агрегатом. Сбор помидоров в парниках. ",
1960,50,238,4," Всесоюзное совещание актива работников здравоохранения, ученых, специалистов медицины. Выступают: секретарь ЦК КПСС Н. А. Мухитдинов, Министр здравоохранения СССР С. В. Курашов. ",
1960,50,293,5," Доктор физико-математических наук М. Н. Гневышев за работой на астрономической станции, построенной у горы Эльбрус на высоте более 2 тысяч метров. М. Н. Гневышев смотрит в астрономический прибор, исследуя явления, происходящие на солнце. ",
1960,50,320,6," Цех завода ""Коммунар"". Машины марки ""Запорожец"" производимые заводом, в цехе, на выходе из завода. ",
1960,50,375,7," Сбор цитрусовых в совхозе имени Ленина в Аджарии. Работницы совхоза срывают мандарины, ссыпают их в корзины. ",
1960,50,430,8," Ученик 5-го класса Центральной музыкальной школы г. Москвы Женя Королев исполняет на пианино (синхронно) финал концерта для фортепиано с оркестром композитора Д. Б. Кабальского. В зале слушают, аплодируют. ",
1960,50,484,9," Выступление на сцене Большого театра СССР артистов кубинского балета. Фрагменты из балета ""Копелия"" композитора Делиба. Партию Сванильды исполняет балерина Алисия Алонсо.",
1960,51,20,1," Вице-президент Бразилии Ж. Голарт находящийся в г. Москве с официальном визитом, на приеме у Председателя Президиума Верховного Совета СССР Л. И. Брежнева в Кремле.",
1960,51,36,2," Митинг советско-кубинской дружбы в Колонном зале Дома союзов. Выступают: Эрнесто Гевара, академик И. П. Герасимов, рабочий В. Чугунов. Присутствует А. И. Микоян.",
1960,51,86,3," Кинохроника: Республика Конго. Народ приветствует главу правительства Конго, Премьер-министра Патриса Лумумбу. Патрис Лумумба и его сторонники, схваченные участниками военного переворота во главе с Мобуту, связанные сидят в машине. ",
1960,51,135,4," Город Москва. Митинг в защиту Патриса Лумумбы на заводе имени Орджоникидзе, на комбинате ""Красная Роза"". Выступают рабочие предприятий. ",
1960,51,185,5, Митинг рабочих-строителей на Сталинградской гидроэлектростанции по случаю пуска в строй последней 21-ой турбины. Мужчина у пульта управления. Вращается деталь турбины. Рабочие аплодируют. ,
1960,51,251,6," Пуск новой домны ""Криворожская-Комсомольская"" на Криворожском металлургическом комбинате (Украина). Загрузка домны. Пульт управления. По жёлобу течет чугун. Аплодируют рабочие. ",
1960,51,333,7," Открытие советского участка дороги, строящейся от станции Актогай в Казахстане до границы с Китайской Народной Республикой. Проезжает поезд. ",
1960,51,366,8," Цех московской ткацкой фабрики ""Победа труда"". Ткачихи работают по новому методу, обслуживая вчетвером три машины. ",
1960,51,399,9," Герой Социалистического Труда, знатная свинарка совхоза ""Победитель"" Омской области Т. Перешивко работает на свиноферме, используя средства механизации при уходе за животными. ",
1960,51,415,10," Узбекистан. Город Ташкент. Выставка живописи, графики, скульптуры декоративно-прикладного искусства. Зрители в залах выставки. ",
1960,51,481,11, Город Москва. Эстрадное представление во Дворце спорта. Выступают: Л. Миров и М. Новицкий; танцуют братья Гусаковы. Девушки исполняют вальс.,
1960,52,20,1," Зал заседания шестой сессии Верховного Совета СССР пятого созыва. Выступают: Председатель Госплана СССР, депутат В. Н. Новиков, министр финансов СССР депутат В. Ф. Гарбузов, министр иностранных дел СССР А. А. Громыко. Депутаты аплодируют, голосуют.",
1960,52,97,2," Н. С. Хрущев принимает главу правительственной экономической миссии Республики Кубы Эрнесто Гевара; подписание советско-кубинского коммюнике; подписывают: Э. Гевара, А. И. Микоян. ",
1960,52,123,3," Пребывание во Франции Председателя Совета Министров СССР, Первого секретаря ЦК КПСС Н. С. Хрущева по случаю празднования 40-летия Французской компартии. Выступает Генеральный секретарь компартии Франции Морис Торез. Н. С. Хрущева и Мориса Тореза приветствует народ. ",
1960,52,175,4, Председатель Президиума Верховного Совета СССР Л. И. Брежнев вручает орден Ленина министру культуры СССР Е. А. Фурцевой. ,
1960,52,201,5, Город Ростов-на-Дону. Цеха Ростовского завода сельскохозяйственного машиностроения. Рабочие за работой у станков. Проезжают сельскохозяйственные машины. ,
1960,52,304,6, Киргизия. Доставка на лошадях стройматериалов и аппаратуры для высокогорной радиорелейной станции. Работают строители. Техник у экрана. ,
1960,52,407,7," Сельскохозяйственные работы по обработке чайных плантаций Лайтурского совхоза имени Кирова в Грузии: рыхление почвы, внесение удобрений, уничтожение вредителей. ",
1960,52,433,8, Чествование во ВГИКе старейшего советского кинооператора профессора А. А. Левицкого в связи с его 75-летием. Юбиляра поздравляет оператор С. Е. Медынский и другие. ,
1960,52,485,9, Выступление в г. Москве артистов французского цирка. Под куполом - воздушная гимнастка Мариз Бегари. ,
1960,52,537,10," Город Москва. Выступление артистов Государственного Омского русского народного хора. Артисты поют, пляшут.",
1960,53,20,1, Предновогодняя торговля игрушками в магазине. Дети выбирают елочные игрушки. ,
1960,53,100,2, Подлёдная ловля рыбы. Рыбак снимает с крючка рыбку. На льду лежит выловленная рыба. ,
1960,53,219,3," Вагон-ресторан экспресса Москва-Пекин. Девушки наряжают ёлку в вагоне-ресторане. Праздничные блюда, приготовленные шеф-поваром вагона-ресторана И. Т. Козыревым. ",
1960,53,339,4," Кинохроника: пребывание Н. С. Хрущева в Индонезии, Франции, Австрии, Финляндии; выступление Н. С. Хрущева в ООН. ",
1960,53,379,5," Кинохроника: пуск в строй домны ""Криворожская-Комсомольская"", Сталинградской гидроэлектростанции, прокладка газопровода Бухара-Ташкент; Курская магнитная аномалия; демобилизованные солдаты на целине; атомоход ""Ленин"". ",
1960,53,419,6, Олимпийский чемпион Ю. Власов поднимает штангу. ,
1960,53,459,7, Новогоднее поздравление говорит (синхронно) Герой Социалистического Труда Н. Я. Мамай. ,
1960,53,498,8," Интервью балерины Большого театра СССР Е. Рябинкиной, героя фильма ""Сережа"" Бори Бархатова о творческих перспективах в Новом 1961 году. ",
1960,53,538,9," Встреча Нового 1961 года в семьях москвичей, полярниками, студентами Московского государственного университета. Танцует молодежь; Дед Мороз со Снегурочкой.",
1961,1,20,1," Прием Н. С. Хрущевым в Кремле правительственной делегации Индонезии во главе с министром Национальной безопасности генералом Насутионом. Присутствуют: Р. Я. Малиновский, В. В. Кузнецов. ",
1961,1,119,2, Испытание новой турбины на Ленинградском металлическом заводе. ,
1961,1,169,3," Забастовка трудящихся Бельгии, выступающих против нового законопроекта правительства Эйскенса, направленного на сокращение заработной платы. ",
1961,1,218,4," Куба, г. Гавана. Фидель Кастро выступает на митинге рабочих национализированной сахарной промышленности с призывом отстаивать свободу и независимость Кубы. ",
1961,1,318,5," Л. И. Брежнев вручает в Кремле правительственные награды: летчикам-испытателям В. С. Ильюшину и В. Ф. Ковалеву; писателю Н. Ф. Погодину, поэту Н. М. Грибачеву. ",
1961,1,367,6, Обмен старых денег на новые на обменных пунктах СССР. Иностранные туристы обменивают доллары на советские рубли. ,
1961,1,417,7," Первый в Сибири конвейерный доильный зал, построенный в Краснополянском совхозе Омской области. ",
1961,1,466,8, Золотая свадьба супругов Горелишвили в грузинском селе Чайлури. Гости за праздничным столом поздравляют юбиляров. ,
1961,1,566,9," Новогодние елки в Колонном зале Дома Союзов, в Георгиевском зале Большого Кремлевского дворца.,",
1961,2,20,1," Прием в Кремле, устроенный правительством СССР в честь главы правительственной делегации Индонезии генерала Насутиона. А. И. Микоян и генерал Насутион подписывают советско-индонезийское соглашение.",
1961,2,57,2, Митинг в г. Ташкенте по случаю завершения строительства газопровода Джаркак-Ташкент. Рабочие вручают цветы; зажигают газовый факел. ,
1961,2,132,3," Новая мартеновская печь, построенная на Криворожском металлургическом заводе - крупнейшая в Европе. Первая сталь, сваренная в новой печи сталеварами Дворниченко и Кулиниченко. ",
1961,2,207,4," Участники пленума ЦК КПСС Ю. Питра, Т. Ахунова, А. Горшков говорят (синхронно) о перспективах выполнения решений пленума. ",
1961,2,245,5," Производственные процессы по обработке сортовых и гибридных семян кукурузы в цехах нового завода, построенного в Винницкой области. ",
1961,2,282,6," Рыбаки колхоза ""Красная заря"" на Северном Сахалине ведут подледный лов рыбы. ",
1961,2,320,7," Московский продовольственный магазин ""Комсомолец"". За прилавками работают юноши и девушки, пришедшие на работу в торговлю по комсомольским путевкам. ",
1961,2,395,8," Бельгия, г. Брюссель. Демонстрация трудящихся, выступающих против антинародного законопроекта правительства Эйскенса, направленного на сокращение заработной платы. Полицейские разгоняют демонстрантов. ",
1961,2,507,9," Город Москва. Спектакль ""Макбет"" в постановке английского театра ""Олд Вик"" на сцене филиала МХАТ; в роли Макбета - Пол Роджерс; в роли Леди Макбет - Барбара Джеффорд. ",
1961,2,582,10," Выступление Государственного хореографического ансамбля ""Березка"".,",
1961,3,20,1," Митинг коллектива депо Москва-Сортировочная, посвященный предстоящему XXII съезду КПСС.",
1961,3,50,2, Знатный механизатор Н. Мануковский и председатель колхоза имени Ленина из Кабардино-Балкарии К. Тарчоков говорят (синхронно) о трудовом подъеме тружеников сельского хозяйства.,
1961,3,79,3, Производство электронных микроскопов в цехах Сумского завода (Украина). ,
1961,3,109,4," Телескоп-гигант, установленный в Крымской астрофизической обсерватории. Работают ученые. ",
1961,3,168,5, Митинг солидарности с революционной Кубой рабочих Первого государственного подшипникового завода в Москве. ,
1961,3,198,6," Выставка современного изобразительного искусства Афганистана, открывшаяся в г. Москве. ",
1961,3,227,7," Город Орск Оренбургской области. Оля Скопцова, ученица ремесленного училища, спасшая ребенка, находящегося на железнодорожных путях. Вручение Оле Скопцовой медали ""За отвагу"". ",
